Rank,Release Group,Worldwide,Domestic,%,Foreign,%
25,The Suicide Squad,"$167,417,425","$55,817,425",33.3%,"$111,600,000",66.7%
26,Space Jam: A New Legacy,"$162,892,228","$70,592,228",43.3%,"$92,300,000",56.7%
27,The Matrix Resurrections,"$156,543,032","$37,654,802",24.1%,"$118,888,230",75.9%
28,Peter Rabbit 2: The Runaway,"$153,901,717","$40,501,717",26.3%,"$113,400,000",73.7%
29,House of Gucci,"$152,078,943","$53,773,943",35.4%,"$98,305,000",64.6%
30,A Writer's Odyssey,"$150,123,320","$160,013",0.1%,"$149,963,307",99.9%
31,The Boss Baby: Family Business,"$146,745,280","$57,300,280",39%,"$89,445,000",61%
32,PAW Patrol: The Movie,"$144,327,371","$40,127,371",27.8%,"$104,200,000",72.2%
33,Tom & Jerry: The Movie,"$133,336,687","$46,536,687",34.9%,"$86,800,000",65.1%
34,Be Somebody,"$132,324,831",-,-,"$132,324,831",100%
35,Halloween Kills,"$131,647,155","$92,002,155",69.9%,"$39,645,000",30.1%
36,Raya and the Last Dragon,"$130,423,032","$54,723,032",42%,"$75,700,000",58%
37,Sister,"$128,317,206",-,-,"$128,317,206",100%
38,The King's Man,"$125,258,269","$37,099,137",29.6%,"$88,159,132",70.4%
39,The Addams Family 2,"$119,815,153","$56,489,153",47.1%,"$63,326,000",52.9%
40,My Love,"$114,016,434","$86,252",<0.1%,"$113,930,182",99.9%
41,Wrath of Man,"$103,966,489","$27,466,489",26.4%,"$76,500,000",73.6%
42,Clifford the Big Red Dog,"$102,047,356","$48,947,356",48%,"$53,100,000",52%
43,Detective Conan: The Scarlet Bullet,"$95,580,715",-,-,"$95,580,715",100%
44,Evangelion: 3.0+1.01 Thrice Upon a Time,"$92,246,218",-,-,"$92,246,218",100%
45,End Game,"$91,824,961","$23,149",<0.1%,"$91,801,812",100%
46,Old,"$90,112,510","$48,242,510",53.5%,"$41,870,000",46.5%
47,Mortal Kombat,"$83,726,031","$42,326,031",50.6%,"$41,400,000",49.4%
48,Boonie Bears: The Wild Life,"$77,997,315",-,-,"$77,997,315",100%
49,Candyman,"$77,411,570","$61,186,570",79%,"$16,225,000",21%
50,The Forever Purge,"$76,994,245","$44,539,245",57.8%,"$32,455,000",42.2%
51,1921,"$75,159,828",-,-,"$75,159,828",100%
52,West Side Story,"$70,455,429","$37,820,791",53.7%,"$32,634,638",46.3%
53,Hitman's Wife's Bodyguard,"$70,060,492","$38,014,727",54.3%,"$32,045,765",45.7%
54,Jujutsu Kaisen 0: The Movie,"$65,623,981",-,-,"$65,623,981",100%
55,Belle,"$62,892,422","$3,878,878",6.2%,"$59,013,544",93.8%
56,Ron's Gone Wrong,"$60,674,656","$23,009,270",37.9%,"$37,665,386",62.1%
57,Cloudy Mountain,"$58,281,703",-,-,"$58,281,703",100%
58,Avatar 2021 Re-release,"$57,566,409",-,-,"$57,566,409",100%
59,Nezha Reborn,"$56,088,478",-,-,"$56,088,478",100%
60,Nobody,"$55,405,035","$27,268,035",49.2%,"$28,137,000",50.8%
61,Upcoming,"$54,300,000",-,-,"$54,300,000",100%
62,Man in Love,"$52,946,097",-,-,"$52,946,097",100%
63,Break Through the Darkness,"$52,700,000",-,-,"$52,700,000",100%
64,Escape Room: Tournament of Champions,"$51,914,753","$25,314,753",48.8%,"$26,600,000",51.2%
65,Schemes in Antiques,"$51,637,422","$36,501",<0.1%,"$51,600,921",99.9%
66,Luca,"$49,750,471",-,-,"$49,750,471",100%
67,Don't Breathe 2,"$47,312,950","$32,712,950",69.1%,"$14,600,000",30.9%
68,My Hero Academia: World Heroes' Mission,"$46,567,849","$12,271,658",26.4%,"$34,296,191",73.6%
69,The French Dispatch,"$45,911,225","$16,124,375",35.1%,"$29,786,850",64.9%
70,Love Will Tear Us Apart,"$45,060,290",-,-,"$45,060,290",100%
71,In the Heights,"$43,975,167","$29,975,167",68.2%,"$14,000,000",31.8%
72,Spirit Untamed,"$42,636,215","$17,635,215",41.4%,"$25,001,000",58.6%
73,Spiral,"$40,618,920","$23,216,862",57.2%,"$17,402,058",42.8%
74,Snake Eyes,"$40,064,325","$28,264,325",70.5%,"$11,800,000",29.5%
75,Tokyo Revengers,"$39,687,069",-,-,"$39,687,069",100%
76,Nomadland,"$39,458,207","$3,700,000",9.4%,"$35,758,207",90.6%
77,Resident Evil: Welcome to Raccoon City,"$38,600,612","$17,000,612",44%,"$21,600,000",56%
78,The Yinyang Master,"$37,690,000",-,-,"$37,690,000",100%
79,Rurouni Kenshin: Final Chapter Part I - The Final,"$36,964,978",-,-,"$36,964,978",100%
80,The Door Lock,"$36,100,000",-,-,"$36,100,000",100%
81,Arashi Anniversary Tour 5 x 20 Film: Record of Memories,"$36,065,638",-,-,"$36,065,638",100%
82,Nightmare Alley,"$35,690,650","$11,134,621",31.2%,"$24,556,029",68.8%
83,King Richard,"$34,978,866","$14,978,866",42.8%,"$20,000,000",57.2%
84,I Fell in Love Like a Flower Bouquet,"$34,975,905",-,-,"$34,975,905",100%
85,Malignant,"$33,991,791","$13,391,791",39.4%,"$20,600,000",60.6%
86,Big Red Envelope,"$32,800,000",-,-,"$32,800,000",100%
87,Masquerade Night,"$32,287,400",-,-,"$32,287,400",100%
88,Once Upon a Time in Hong Kong,"$32,218,874",-,-,"$32,218,874",100%
89,Home Sweet Home,"$32,178,677",-,-,"$32,178,677",100%
90,Respect,"$31,765,870","$24,278,399",76.4%,"$7,487,471",23.6%
91,The Unholy,"$30,832,137","$15,532,137",50.4%,"$15,300,000",49.6%
92,The Last Duel,"$30,552,111","$10,853,945",35.5%,"$19,698,166",64.5%
93,Belfast,"$30,185,670","$8,414,670",27.9%,"$21,771,000",72.1%
94,The Little Things,"$29,942,746","$15,342,746",51.2%,"$14,600,000",48.8%
95,Escape from Mogadishu,"$29,855,981","$346,271",1.2%,"$29,509,710",98.8%
96,The Last Warrior: A Messenger of Darkness,"$29,167,945",-,-,"$29,167,945",100%
97,Master,"$28,692,230",-,-,"$28,692,230",100%
98,The Last Warrior: Root of Evil,"$28,357,398",-,-,"$28,357,398",100%
99,Chaos Walking,"$26,508,132","$13,287,908",50.1%,"$13,220,224",49.9%
100,American Underdog,"$26,502,978","$26,502,978",100%,-,-
101,Licorice Pizza,"$26,490,663","$15,598,663",58.9%,"$10,892,000",41.1%
102,The Courier,"$26,001,070","$6,613,432",25.4%,"$19,387,638",74.6%
103,Those Who Wish Me Dead,"$23,468,586","$7,407,200",31.6%,"$16,061,386",68.4%
104,The Marksman,"$23,076,711","$15,566,093",67.5%,"$7,510,618",32.5%
105,Last Night in Soho,"$22,957,625","$10,127,625",44.1%,"$12,830,000",55.9%
106,The Day We Lit Up the Sky,"$22,500,000",-,-,"$22,500,000",100%
107,Kaamelott: First Installment,"$21,965,451","$188,000",0.9%,"$21,777,451",99.1%
108,After We Fell,"$21,584,600","$2,170,750",10.1%,"$19,413,850",89.9%
109,Rurouni Kenshin: Final Chapter Part II - The Beginning,"$21,318,560",-,-,"$21,318,560",100%
110,Wish Dragon,"$21,120,000",-,-,"$21,120,000",100%
111,Spencer,"$21,117,490","$7,086,632",33.6%,"$14,030,858",66.4%
112,Stillwater,"$19,672,073","$14,465,535",73.5%,"$5,206,538",26.5%
113,Les Tuche 4,"$19,259,766",-,-,"$19,259,766",100%
114,Dear Evan Hansen,"$19,023,625","$15,002,646",78.9%,"$4,020,979",21.1%
115,The Pioneer,"$18,900,000",-,-,"$18,900,000",100%
116,The Green Knight,"$18,888,418","$17,173,321",90.9%,"$1,715,097",9.1%
117,Antlers,"$18,867,659","$10,619,670",56.3%,"$8,247,989",43.7%
118,Sinkhole,"$18,804,231",-,-,"$18,804,231",100%
119,Mobile Suit Gundam: Hathaway,"$18,731,309",-,-,"$18,731,309",100%
120,The Stronghold,"$18,066,143",-,-,"$18,066,143",100%
121,Bo Gia,"$17,480,489","$350,000",2%,"$17,130,489",98%
122,The Dry,"$17,392,594","$364,237",2.1%,"$17,028,357",97.9%
123,Gintama: The Final,"$17,252,960",-,-,"$17,252,960",100%
124,Railway Heroes,"$17,222,703",-,-,"$17,222,703",100%
125,Parallel Mothers,"$16,525,716","$1,799,198",10.9%,"$14,726,518",89.1%
126,Upon the Magic Roads,"$15,990,882",-,-,"$15,990,882",100%
127,Reminiscence,"$15,800,193","$3,900,193",24.7%,"$11,900,000",75.3%
128,Your Turn to Kill,"$15,476,242",-,-,"$15,476,242",100%
129,The Night House,"$15,437,703","$7,100,581",46%,"$8,337,122",54%
130,The Wolf and the Lion,"$15,352,751","$1,123,026",7.3%,"$14,229,725",92.7%
131,Minari,"$15,322,552","$3,110,580",20.3%,"$12,211,972",79.7%
132,Something About Love,"$15,204,017",-,-,"$15,204,017",100%
133,Anita,"$15,026,604","$556,632",3.7%,"$14,469,972",96.3%
134,The Tomorrow War,"$14,400,000",-,-,"$14,400,000",100%
135,"And, the Baton Was Passed","$14,368,469",-,-,"$14,368,469",100%
136,Cry Macho,"$14,340,402","$10,310,734",71.9%,"$4,029,668",28.1%
137,99.9 Criminal Lawyer: The Movie,"$14,269,321",-,-,"$14,269,321",100%
138,Crayon Shin-chan: Shrouded in Mystery! The Flowers of Tenkazu Academy,"$14,059,824",-,-,"$14,059,824",100%
139,Sword Art Online: Progressive - Aria of a Starless Night,"$13,769,821","$1,050,000",7.6%,"$12,719,821",92.4%
140,Christmas with the Chosen: The Messengers,"$13,728,000","$13,728,000",100%,-,-
141,OSS 117: From Africa with Love,"$13,458,371",-,-,"$13,458,371",100%
142,Hostage: Missing Celebrity,"$13,125,970",-,-,"$13,125,970",100%
143,Eiffel,"$13,074,755",-,-,"$13,074,755",100%
144,Vakeel Saab,"$13,056,490",-,-,"$13,056,490",100%
145,Monkey King Reborn,"$13,002,635",-,-,"$13,002,635",100%
146,No Escapes,"$12,916,151",-,-,"$12,916,151",100%
147,The Bodin's in the Land of Smile,"$12,872,253",-,-,"$12,872,253",100%
148,The Many Saints of Newark,"$12,737,403","$8,237,403",64.7%,"$4,500,000",35.3%
149,Character,"$12,571,501",-,-,"$12,571,501",100%
150,School of Magical Animals,"$12,368,483",-,-,"$12,368,483",100%
151,On Your Mark,"$12,100,000",-,-,"$12,100,000",100%
152,Stand by Me,"$11,900,000",-,-,"$11,900,000",100%
153,On the Line,"$11,772,156",-,-,"$11,772,156",100%
154,The Fable: The Killer Who Doesn't Kill,"$11,325,545",-,-,"$11,325,545",100%
155,What Did You Eat Yesterday?,"$11,320,893",-,-,"$11,320,893",100%
156,Aline,"$11,058,710","$588,430",5.3%,"$10,470,280",94.7%
157,Harry Potter and the Sorcerer's Stone 2021 Re-release,"$10,795,457","$799,342",7.4%,"$9,996,115",92.6%
158,Krack,"$10,442,916",-,-,"$10,442,916",100%
159,Kaiserschmarrndrama,"$10,357,720",-,-,"$10,357,720",100%
160,"Caution, Hazardous Wife: The Movie","$10,356,359",-,-,"$10,356,359",100%
161,Realm of Terracotta,"$10,341,512",-,-,"$10,341,512",100%
162,Detective Conan: The Scarlet Alibi,"$10,308,627",-,-,"$10,308,627",100%
163,Never Stop,"$10,224,935",-,-,"$10,224,935",100%
164,Sumikko Gurashi The Movie: The Magical Child Of The Blue Moonlit Night,"$9,735,732",-,-,"$9,735,732",100%
165,Black Box,"$9,689,532",-,-,"$9,689,532",100%
166,The Soul,"$9,600,000",-,-,"$9,600,000",100%
167,¡A todo tren! Destino Asturias,"$9,544,171",-,-,"$9,544,171",100%
168,Baragaki: Unbroken Samurai,"$9,481,437",-,-,"$9,481,437",100%
169,The Vault,"$9,050,471",-,-,"$9,050,471",100%
170,All About My Mother,"$8,900,000",-,-,"$8,900,000",100%
171,The Eleventh Chapter,"$8,845,525",-,-,"$8,845,525",100%
172,Kaguya-sama: Love Is War,"$8,794,981",-,-,"$8,794,981",100%
173,Agent Backkom: Kings Bear,"$8,500,000",-,-,"$8,500,000",100%
174,Honey Lemon Soda,"$8,441,488",-,-,"$8,441,488",100%
175,The Lord of the Rings: The Fellowship of the Ring 2021 Re-release,"$8,377,569",-,-,"$8,377,569",100%
176,The Medium,"$8,357,445",-,-,"$8,357,445",100%
177,Delicious,"$8,354,647",-,-,"$8,354,647",100%
178,The Protégé,"$8,282,208","$7,446,823",89.9%,"$835,385",10.1%
179,I Don't Have Any Money Left in My Retirement Account,"$8,204,616",-,-,"$8,204,616",100%
180,White Snake 2: Green Snake,"$8,170,000",-,-,"$8,170,000",100%
181,Ainbo,"$8,133,281",-,-,"$8,133,281",100%
182,New Happy Dad and Son 4,"$8,070,000",-,-,"$8,070,000",100%
183,Sunny Sisters,"$7,880,000",-,-,"$7,880,000",100%
184,Hard Hit,"$7,633,895",-,-,"$7,633,895",100%
185,Little Canned Men,"$7,600,000",-,-,"$7,600,000",100%
186,Pushpa: The Rise - Part 1,"$7,592,374","$1,320,000",17.4%,"$6,272,374",82.6%
187,Dad,"$7,544,581",-,-,"$7,544,581",100%
188,The Mauritanian,"$7,527,030","$836,536",11.1%,"$6,690,494",88.9%
189,The Ice Road,"$7,502,846",-,-,"$7,502,846",100%
190,Love Letter 2021 Re-release,"$7,400,000",-,-,"$7,400,000",100%
191,'83,"$7,351,061","$4,055,660",55.2%,"$3,295,401",44.8%
192,Signal: The Movie,"$7,344,186",-,-,"$7,344,186",100%
193,Lost Illusions,"$7,249,376",-,-,"$7,249,376",100%
194,Dear Tutu: Operation T-Rex,"$7,200,000",-,-,"$7,200,000",100%
195,Water Boys,"$7,200,000",-,-,"$7,200,000",100%
196,Contra,"$7,172,881",-,-,"$7,172,881",100%
197,Couple from the Future,"$7,160,729",-,-,"$7,160,729",100%
198,Sooryavanshi,"$6,984,082","$3,547,776",50.8%,"$3,436,306",49.2%
199,Extinct,"$6,927,641",-,-,"$6,927,641",100%
200,Are You Lonesome Tonight?,"$6,902,639",-,-,"$6,902,639",100%
